,MKTbond,Term Factor,Default Factor
2002-07-31,0.004339167091834076,0.0288,-0.020900000000000002
2002-08-31,0.032356854710668466,0.045,-0.0011999999999999997
2002-09-30,0.00748006922910564,0.0403,-0.0087
2002-10-31,-0.004138846120143166,-0.030799999999999998,0.0053999999999999986
2002-11-30,0.03698397959361732,-0.0134,0.0252
2002-12-31,0.019097438318784733,0.049600000000000005,-0.014600000000000002
2003-01-31,0.02402814240864753,-0.0116,0.0127
2003-02-28,0.015499356136878174,0.032,-0.006499999999999999
2003-03-31,0.012595636585553023,-0.014499999999999999,0.0055
2003-04-30,0.03709088968550297,0.0092,0.0127
2003-05-31,0.026912099189420065,0.058300000000000005,-0.0121
2003-06-30,0.013520891554469372,-0.0164,0.0011000000000000003
2003-07-31,-0.02397415005320396,-0.0989,0.010099999999999998
2003-08-31,0.0029814844102681055,0.0159,0.005299999999999999
2003-09-30,0.03272554741919563,0.0538,-0.004300000000000005
2003-10-31,0.004256559651345791,-0.028999999999999998,0.008
2003-11-30,0.011217851660535239,-0.0034000000000000002,0.0079
2003-12-31,0.010864147210368208,0.013099999999999999,0.0
2004-01-31,0.0147677333083012,0.018000000000000002,0.0
2004-02-29,0.007307475482782133,0.0224,-0.0052
2004-03-31,0.008455088825306196,0.0132,-0.0023
2004-04-30,-0.019094501562751262,-0.0596,0.005399999999999995
2004-05-31,-0.00945552356487829,-0.0057,-0.002
2004-06-30,0.008971737680686853,0.0113,-0.0028000000000000004
2004-07-31,0.01080690771818367,0.014499999999999999,0.0029
2004-08-31,0.021949799555739995,0.038400000000000004,0.0
2004-09-30,0.00848902994937507,0.008499999999999999,0.0005000000000000004
2004-10-31,0.013370781402887217,0.0143,0.0010000000000000009
2004-11-30,-0.0006678569671057758,-0.024900000000000002,0.0034000000000000002
2004-12-31,0.010596604287329985,0.0234,0.0006999999999999992
2005-01-31,0.004151833290025548,0.028399999999999998,-0.0023
2005-02-28,0.001038425454467726,-0.014400000000000001,0.0016000000000000007
2005-03-31,-0.021211807061258452,-0.0093,-0.005300000000000001
2005-04-30,0.004989901298805525,0.0352,-0.0046
2005-05-31,0.009671200381592051,0.0273,-0.00020000000000000226
2005-06-30,0.010191075476658356,0.0144,-0.0026
2005-07-31,-0.0004898103335060618,-0.0312,0.004399999999999998
